# 图鉴物品配置
# 格式：id,name,description,category,rarity,iconPath,detailImagePath,isHidden
# category: 0=Material, 1=Item, 2=Skin, 3=Achievement
# rarity: 0=Common, 1=Rare, 2=Epic, 3=Legendary
# isHidden: true/false

# 皮肤 (201-250)
201,小蜘蛛默认皮肤,最初的蜘蛛皮肤,2,0,:/resources/img/cassidy.png,:/resources/img/cassidy.png,false
202,卡西迪默认皮肤,最初的卡西迪皮肤,2,0,:/resources/img/cassidy.png,:/resources/img/cassidy.png,false
203,金色小蜘蛛,华丽的蜘蛛皮肤,2,2,:/resources/img/Test1.png,:/resources/img/Test1.png,false
204,彩虹卡西迪,绚丽的卡西迪皮肤,2,2,:/resources/img/Test2.png,:/resources/img/Test2.png,false


# 阳光材料 (6-10) - 光合作用产出
6,微光阳光,微弱的阳光能量,0,0,:/resources/img/sunshine/sunshine_1.jpg,:/resources/img/sunshine/sunshine_1.jpg,false
7,温暖阳光,温和的阳光能量,0,1,:/resources/img/sunshine/sunshine_2.png,:/resources/img/sunshine/sunshine_2.png,false
8,炽热阳光,强烈的阳光能量,0,2,:/resources/img/sunshine/sunshine_3.png,:/resources/img/sunshine/sunshine_3.png,false
9,灿烂阳光,璀璨的阳光能量,0,2,:/resources/img/sunshine/sunshine_4.png,:/resources/img/sunshine/sunshine_4.png,false
10,神圣阳光,神圣的阳光能量,0,3,:/resources/img/sunshine/sunshine_5.png,:/resources/img/sunshine/sunshine_5.png,false

# 矿石材料 (11-15) - 挖矿产出
11,粗糙矿石,最基础的矿物材料,0,0,:/resources/img/materials/mineral_1.png,:/resources/img/materials/mineral_1.png,false
12,普通矿石,常见的矿物材料,0,1,:/resources/img/materials/mineral_2.png,:/resources/img/materials/mineral_2.png,false
13,优质矿石,品质优良的矿物材料,0,2,:/resources/img/materials/mineral_3.png,:/resources/img/materials/mineral_3.png,false
14,稀有矿石,珍贵的矿物材料,0,2,:/resources/img/materials/mineral_4.png,:/resources/img/materials/mineral_4.png,false
15,传说矿石,传说级的矿物材料,0,3,:/resources/img/materials/mineral_5.png,:/resources/img/materials/mineral_5.png,false

# 木头材料 (16-20) - 冒险产出
16,枯木,最基础的木材,0,0,:/resources/img/woods/wood_1.png,:/resources/img/woods/wood_1.png,false
17,普通木材,常见的木材,0,1,:/resources/img/woods/wood_2.jpg,:/resources/img/woods/wood_2.jpg,false
18,优质木材,品质优良的木材,0,2,:/resources/img/woods/wood_3.png,:/resources/img/woods/wood_3.png,false
19,稀有木材,珍贵的木材,0,2,:/resources/img/woods/wood_4.png,:/resources/img/woods/wood_4.png,false
20,神木,传说级的木材,0,3,:/resources/img/woods/wood_5.png,:/resources/img/woods/wood_5.png,false

# 稀有材料 (51-100)
51,龙鳞,传说中的龙族掉落物,0,3,:/resources/img/materials/dragon_scale.png,:/resources/img/materials/dragon_scale.png,false
52,凤凰羽毛,象征重生的神圣材料,0,3,:/resources/img/materials/phoenix_feature.png,:/resources/img/materials/phoenix_feature.png,false

# 工具物品 (101-150)
101,木质锤子,基础的建造工具,1,0,:/resources/img/tools/wood_hammer.png,:/resources/img/tools/wood_hammer.png,false
102,铁质锤子,更高效的建造工具,1,1,:/resources/img/tools/iron_hammer.png,:/resources/img/tools/iron_hammer.png,false
103,黄金锤子,奢华的建造工具,1,2,:/resources/img/tools/gold_hammer.png,:/resources/img/tools/gold_hammer.png,false

# 装备物品 (151-200)
151,草帽,简单的防护装备,1,0,:/resources/img/equipment/straw_hat.png,:/resources/img/equipment/straw_hat.png,false
152,皮帽,更好的防护装备,1,1,:/resources/img/equipment/leather_hat.png,:/resources/img/equipment/leather_hat.png,false

# 成就 (301-400)
301,初心者,完成第一次打工,3,0,:/resources/img/achievements/first_work.png,:/resources/img/achievements/first_work.png,false
302,收藏家,收集100个物品,3,1,:/resources/img/achievements/collector.png,:/resources/img/achievements/collector.png,false
303,富豪,拥有10000金币,3,2,:/resources/img/achievements/rich.png,:/resources/img/achievements/rich.png,false
304,传奇,达到最高等级,3,3,:/resources/img/achievements/legendary.png,:/resources/img/achievements/legendary.png,false

# 隐藏物品 (901-999)
902,时光沙漏,控制时间的神器,1,3,:/resources/img/items/time_hourglass.png,:/resources/img/items/time_hourglass.png,true
